Country,Preservation Requests,Preservation Accounts Preserved,Total Requests,Number of Requests Where Some Data Produced,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Number of Requests Where Some Data Produced,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,ER Number of Requests Where Some Data Produced,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Brazil,"8,568","17,085","15,582","12,521","57,742",80%,"14,552","11,768","56,105",81%,"1,030",753,"1,637",73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Indian Ocean Territory,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,43,67,69,58,141,84%,69,58,141,84%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,"2,321","3,425","2,859","2,393","4,150",84%,"1,149",951,"1,761",83%,"1,710","1,442","2,389",84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,2,2,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,608,"1,359",322,83,548,26%,248,43,435,17%,74,40,113,54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,0,0,1,0,1,0%,1,0,1,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Island,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos (Keeling) Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,"1,290","2,263","1,249",835,"3,456",67%,479,225,974,47%,770,610,"2,482",79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,86,119,13,7,17,54%,0,0,0,0%,13,7,17,54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,6,7,91,77,144,85%,89,75,141,84%,2,2,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,16,38,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,19,27,10,7,18,70%,2,0,2,0%,8,7,16,88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,77,103,341,262,540,77%,327,249,522,76%,14,13,18,93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,2,4,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,176,235,85,59,124,69%,84,58,123,69%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,0,0,1,0,1,0%,0,0,0,0%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,65,100,100,44,167,44%,92,40,152,43%,8,4,15,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,365,620,353,219,674,62%,144,60,279,42%,209,159,395,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,1,1,3,1,5,33%,0,0,0,0%,3,1,5,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,38,47,19,4,25,21%,17,4,24,24%,2,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,6,6,70,42,101,60%,63,38,88,60%,7,4,13,57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federated States of Micronesia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,85,137,172,143,259,83%,153,126,222,82%,19,17,37,89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,209,307,"12,769","10,786","15,148",84%,"6,702","4,941","8,910",74%,"6,067","5,845","6,238",96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Southern Territories,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,53,81,27,26,40,96%,27,26,40,96%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,694,"1,083","17,977","11,583","25,555",64%,"17,316","11,081","24,417",64%,661,502,"1,138",76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,27,30,8,2,11,25%,1,0,1,0%,7,2,10,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,267,414,809,542,"1,296",67%,696,445,"1,153",64%,113,97,143,86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,440,804,715,443,"1,220",62%,405,183,689,45%,310,260,531,84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guernsey,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,0,0,1,0,2,0%,1,0,2,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,3,3,8,2,8,25%,0,0,0,0%,8,2,8,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heard Island and McDonald Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,55,88,7,3,13,43%,5,3,9,60%,2,0,4,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,23,24,61,0,69,0%,61,0,69,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,26,35,625,380,820,61%,618,378,806,61%,7,2,14,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,5,11,3,1,5,33%,1,0,1,0%,2,1,4,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,"7,261","12,797","55,497","36,958","91,159",67%,"51,602","34,769","81,941",67%,"3,895","2,189","9,218",56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,8,9,187,152,722,81%,180,149,710,83%,7,3,12,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,3,6,2,0,2,0%,1,0,1,0%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,3,3,6,0,6,0%,4,0,4,0%,2,0,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,554,755,296,217,359,73%,275,206,342,75%,21,11,17,52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle Of Man,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,504,610,"1,060",843,"2,814",80%,423,363,725,86%,637,480,"2,089",75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,"1,610","2,374","2,698","1,537","4,357",57%,"2,629","1,500","4,242",57%,69,37,115,54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,11,12,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,0,0,4,1,2,25%,0,0,0,0%,4,1,2,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,25,31,256,190,381,74%,2,0,1,0%,254,190,380,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,2,3,601,352,723,59%,553,338,670,61%,48,14,53,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,35,83,15,7,27,47%,14,6,26,43%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,2,4,37,7,65,19%,34,6,61,18%,3,1,4,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,1,1,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laos,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,4,4,55,38,58,69%,54,38,57,70%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,1,1,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,2,2,4,3,4,75%,4,3,4,75%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,26,30,154,119,189,77%,153,119,188,78%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,63,82,12,8,12,67%,12,8,12,67%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,0,0,6,5,6,83%,2,1,2,50%,4,4,4,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,2,2,62,28,131,45%,62,28,131,45%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,9,24,70,63,199,90%,68,61,196,90%,2,2,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,7,9,16,14,24,88%,13,11,21,85%,3,3,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,1,1,381,285,470,75%,366,272,455,74%,15,13,15,87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,2,2,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,"2,713","4,972","4,029","2,408","7,712",60%,"3,027","1,757","5,808",58%,"1,002",651,"1,904",65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,1,4,12,2,13,17%,10,1,11,10%,2,1,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,0,0,1,0,1,0%,1,0,1,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,0,0,28,10,39,36%,25,10,36,40%,3,0,3,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,1,3,32,22,40,69%,32,22,40,69%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,0,0,419,267,472,64%,419,267,472,64%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,0,0,602,401,717,67%,585,386,694,66%,17,15,23,88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,35,56,615,502,"1,024",82%,549,451,918,82%,66,51,106,77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,381,813,180,143,266,79%,88,74,149,84%,92,69,117,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,1,1,2,1,3,50%,1,0,1,0%,1,1,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,0,0,11,5,21,45%,9,4,19,44%,2,1,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niue,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,15,22,40,16,96,40%,32,10,88,31%,8,6,8,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,547,748,"1,373",642,"1,783",47%,"1,307",621,"1,691",48%,66,21,92,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,2,2,4,4,4,100%,4,4,4,100%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,146,281,19,14,37,74%,15,11,33,73%,4,3,4,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,40,58,39,17,61,44%,26,11,42,42%,13,6,19,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,980,"1,336",235,122,428,52%,192,99,351,52%,43,23,77,53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,152,350,21,10,35,48%,8,4,10,50%,13,6,25,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitcairn,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,564,693,"5,720","3,610","7,319",63%,"5,535","3,481","7,079",63%,185,129,240,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,130,159,"1,232",512,"1,578",42%,"1,231",512,"1,577",42%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,0,0,1,0,1,0%,1,0,1,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of the Congo,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
