Country,Preservation Requests,Preservation Accounts Preserved,Total Requests,Number of Requests Where Some Data Produced,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Number of Requests Where Some Data Produced,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,ER Number of Requests Where Some Data Produced,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Bouvet Island,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,"10,286","20,525","17,421","13,688","63,355",79%,"16,187","12,831","61,359",79%,"1,234",857,"1,996",69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Indian Ocean Territory,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,39,60,75,59,103,79%,75,59,103,79%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,"2,061","3,029","2,642","2,232","3,624",84%,924,774,"1,268",84%,"1,718","1,458","2,356",85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,3,3,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,483,952,256,77,413,30%,199,48,319,24%,57,29,94,51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Island,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos (Keeling) Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,"1,171","2,409","1,651","1,156","4,668",70%,452,215,"1,107",48%,"1,199",941,"3,561",78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,64,94,32,16,65,50%,12,1,18,8%,20,15,47,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,4,6,87,75,132,86%,84,72,128,86%,3,3,4,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,12,29,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,23,27,15,7,28,47%,9,2,14,22%,6,5,14,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,43,64,808,580,"1,007",72%,793,565,986,71%,15,15,21,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,161,194,102,74,137,73%,97,72,130,74%,5,2,7,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,94,112,64,28,105,44%,51,20,68,39%,13,8,37,62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,170,268,487,344,936,71%,130,34,234,26%,357,310,702,87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,1,1,1,1,1,100%,0,0,0,0%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,13,25,7,1,19,14%,5,0,16,0%,2,1,3,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,5,6,75,54,100,72%,72,51,97,71%,3,3,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federated States of Micronesia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,90,164,194,175,324,90%,160,141,277,88%,34,34,47,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,183,239,"12,689","10,834","15,006",85%,"5,818","4,207","7,890",72%,"6,871","6,627","7,116",96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Southern Territories,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,110,186,28,20,53,71%,28,20,53,71%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,654,948,"17,541","12,466","26,228",71%,"16,780","11,881","24,920",71%,761,585,"1,308",77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,36,70,4,3,6,75%,0,0,0,0%,4,3,6,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,265,369,671,467,"1,057",70%,595,396,956,67%,76,71,101,93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,535,"1,036",683,417,"1,219",61%,374,147,714,39%,309,270,505,87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guernsey,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,0,0,1,0,1,0%,0,0,0,0%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,13,13,11,3,14,27%,2,0,2,0%,9,3,12,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heard Island and McDonald Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,73,120,9,0,22,0%,9,0,22,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,18,18,57,0,91,0%,54,0,78,0%,3,0,13,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,33,47,620,418,796,67%,612,415,785,68%,8,3,11,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,13,15,1,0,2,0%,1,0,2,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,"8,166","13,455","63,852","43,586","106,856",68%,"58,681","40,137","95,439",68%,"5,171","3,449","11,417",67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,15,17,284,191,841,67%,269,190,816,71%,15,1,25,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,2,2,2,0,2,0%,0,0,0,0%,2,0,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,5,5,3,0,3,0%,0,0,0,0%,3,0,3,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,516,728,283,211,342,75%,274,206,328,75%,9,5,14,56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle Of Man,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,392,483,"1,015",753,"2,654",74%,342,301,559,88%,673,452,"2,095",67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,"1,653","2,348","2,616","1,683","3,986",64%,"2,529","1,629","3,866",64%,87,54,120,62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,0,0,8,2,16,25%,6,0,8,0%,2,2,8,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,0,0,5,1,4,20%,2,0,2,0%,3,1,2,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,18,33,277,199,381,72%,8,0,10,0%,269,199,371,74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,10,10,820,480,"1,044",59%,768,463,973,60%,52,17,71,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,20,34,8,1,12,12%,8,1,12,13%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,1,2,26,5,32,19%,20,2,25,10%,6,3,7,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0,0,3,1,5,33%,2,0,2,0%,1,1,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laos,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,5,5,42,37,52,88%,42,37,52,88%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,0,0,1,0,1,0%,0,0,0,0%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,0,0,1,0,2,0%,0,0,0,0%,1,0,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,0,0,4,2,6,50%,4,2,6,50%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,44,49,193,146,248,76%,193,146,248,76%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,77,102,22,15,53,68%,18,12,35,67%,4,3,18,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,0,0,7,7,7,100%,1,1,1,100%,6,6,6,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,7,13,91,42,125,46%,90,42,125,47%,1,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,9,11,59,51,208,86%,56,49,205,88%,3,2,3,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,16,30,32,25,45,78%,29,24,41,83%,3,1,4,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,23,26,311,228,397,73%,308,225,394,73%,3,3,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,1,3,3,2,3,67%,0,0,0,0%,3,2,3,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,"2,519","4,963","4,272","2,343","7,994",55%,"3,036","1,529","5,545",50%,"1,236",814,"2,449",66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,7,13,4,2,6,50%,4,2,6,50%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,0,0,2,2,2,100%,1,1,1,100%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,0,0,18,13,26,72%,18,13,26,72%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,1,1,18,7,24,39%,16,7,22,44%,2,0,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,0,0,411,262,474,64%,405,262,468,65%,6,0,6,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,1,1,1,0,1,0%,1,0,1,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,7,8,668,429,779,64%,631,399,733,63%,37,30,46,81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,21,46,633,544,"1,089",86%,542,467,970,86%,91,77,119,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,446,"1,009",231,184,352,80%,131,105,225,80%,100,79,127,79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,0,0,1,1,3,100%,0,0,0,0%,1,1,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,1,1,9,3,7,33%,8,3,6,38%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niue,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,19,29,35,20,84,57%,25,14,72,56%,10,6,12,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,513,687,"1,144",738,"1,438",65%,"1,088",714,"1,361",66%,56,24,77,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,3,3,9,0,10,0%,9,0,10,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,151,264,18,8,36,44%,11,2,26,18%,7,6,10,86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,0,0,6,0,6,0%,6,0,6,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,68,95,71,38,109,54%,30,10,46,33%,41,28,63,68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,"1,305","1,905",608,188,"1,072",31%,373,65,669,17%,235,123,403,52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,141,215,38,16,64,42%,22,11,50,50%,16,5,14,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitcairn,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,672,854,"6,083","4,141","7,750",68%,"5,940","4,044","7,576",68%,143,97,174,68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,144,175,936,470,"1,154",50%,933,470,"1,142",50%,3,0,12,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,3,6,4,2,4,50%,2,0,2,0%,2,2,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of the Congo,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
