Country,Content Restrictions,Preservation Requests,Preservation Accounts Preserved,Takedown reports,Percent Witheld,Internet Disruptions,Total Requests,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Belarus,0,0,0,0,0,0,1,0,0%,0,0,0%,1,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,68,31,48,0,0,0,611,939,89%,580,900,88%,31,39,97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,0,1,1,0,0,0,2,2,50%,1,1,100%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,0,0,0,0,0,0,1,1,0%,1,1,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,0,24,30,0,0,0,40,51,73%,40,51,73%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,0,2,6,0,0,0,2,8,0%,2,8,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,1855,1895,3011,0,0,0,2991,7978,63%,2761,7448,61%,230,530,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,0,3,4,0,0,0,18,23,83%,17,22,82%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,0,5,7,0,0,0,3,6,0%,3,6,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,0,0,0,0,0,0,1,1,100%,0,0,0%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,0,0,0,0,0,0,1,2,0%,1,2,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,14,1806,2666,0,0,0,1566,2066,88%,543,855,83%,1023,1211,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,0,0,0,0,0,1,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0,217,344,0,0,0,443,785,68%,435,750,68%,8,35,88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,21,406,685,0,0,0,299,762,58%,228,611,61%,71,151,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,1,97,158,0,0,0,1,1,100%,0,0,0%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,0,1,1,0,0,0,63,167,70%,63,167,70%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,1,13,15,0,0,0,20,23,55%,15,17,40%,5,6,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,14,159,312,0,0,0,88,111,89%,65,83,89%,23,28,87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,0,2,2,0,0,2,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,3,26,40,0,0,0,52,87,60%,51,86,59%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,0,148,175,0,0,0,210,280,50%,156,210,40%,54,70,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0,63,117,0,0,0,128,236,61%,74,172,51%,54,64,74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,1,1,1,0,0,0,1,3,100%,0,0,0%,1,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,0,31,48,0,0,0,23,35,48%,15,19,33%,8,16,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,0,8,12,0,0,0,40,54,73%,40,54,73%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,2,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,1,30,47,0,0,0,41,52,90%,40,51,90%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,443,187,242,0,0,0,5110,5900,69%,4914,5660,69%,196,240,63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,2,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,0,23,25,0,0,0,18,26,89%,16,24,94%,2,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1764,280,411,0,0,0,6661,8379,59%,6429,8059,58%,232,320,84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2,268,394,0,0,0,445,660,70%,333,534,61%,112,126,96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,9,41,110,0,0,0,169,338,62%,87,178,39%,82,160,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,13,26,33,0,0,0,174,234,56%,172,230,56%,2,4,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,0,19,24,0,0,0,341,532,55%,338,516,54%,3,16,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,0,10,11,0,0,0,1,1,100%,1,1,100%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,1524,1380,1858,0,0,40,16580,23047,53%,15963,21829,53%,617,1218,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,153,14,16,0,0,1,74,98,43%,12,19,8%,62,79,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,0,1,1,0,0,0,1,1,100%,0,0,0%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,0,7,7,0,0,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,9,194,289,0,0,0,60,69,82%,54,61,81%,6,8,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,638,278,330,0,0,0,624,829,73%,287,423,72%,337,406,74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,582,818,1265,0,0,0,2401,4482,63%,2320,4372,63%,81,110,65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,0,0,0,0,0,0,4,4,50%,3,3,33%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,0,1,15,0,0,0,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,0,3,4,0,0,0,17,22,53%,2,8,0%,15,14,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,0,1,1,0,0,0,140,179,71%,59,69,64%,81,110,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,0,1,1,0,0,0,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,0,0,0,0,0,0,16,26,75%,15,25,73%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0,0,0,0,0,0,2,2,0%,2,2,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,5,3,3,0,0,0,38,45,66%,38,45,66%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,1,2,4,0,0,0,8,10,75%,1,1,0%,7,9,86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,0,1,1,0,0,0,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,0,16,17,0,0,0,55,83,93%,52,78,92%,3,5,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,0,31,43,0,0,0,13,18,54%,13,18,54%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,0,0,0,0,0,0,4,4,75%,4,4,75%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,0,4,4,0,0,0,71,114,51%,71,114,51%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,0,0,0,0,0,0,4,21,25%,4,21,25%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,0,0,0,0,0,0,1,0,0%,0,0,0%,1,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,0,14,25,0,0,0,20,20,65%,15,15,73%,5,5,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,0,0,0,0,0,0,16,20,69%,13,17,77%,3,3,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,3,1,1,0,0,0,199,218,66%,188,207,69%,11,11,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,766,188,480,0,0,0,1406,2722,77%,1086,2267,79%,320,455,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,0,7,8,0,0,0,9,11,33%,7,8,29%,2,3,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,0,0,0,0,0,0,1,1,0%,1,1,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,0,0,0,0,0,0,4,7,0%,2,4,0%,2,3,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,0,0,0,0,0,0,29,30,69%,29,30,69%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,7,0,0,0,0,0,69,76,65%,69,76,65%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,0,0,0,0,0,0,147,205,56%,144,201,56%,3,4,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,104,32,65,0,0,0,665,1011,88%,598,918,87%,67,93,88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,1,94,148,0,0,0,66,101,61%,57,88,54%,9,13,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,6,1,2,0,0,0,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,0,1,1,0,0,0,2,4,50%,1,3,100%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,1,38,56,0,0,0,40,45,68%,22,25,50%,18,20,89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,0,0,0,0,0,0,1,1,0%,1,1,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,2203,430,580,0,0,0,1233,1609,58%,1141,1462,57%,92,147,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,1,4,6,0,0,0,22,25,9%,19,22,11%,3,3,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,2,1,5,0,0,0,13,21,31%,13,21,31%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,0,0,0,0,0,0,12,26,58%,8,20,63%,4,6,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,13,111,179,0,0,0,62,126,52%,44,72,48%,18,54,61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,1,135,189,0,0,1,31,42,48%,9,18,56%,22,24,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,8,127,306,0,0,0,1842,2715,54%,1710,2555,51%,132,160,86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,1,79,111,0,0,0,871,1060,35%,870,1059,35%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,0,1,2,0,0,0,3,3,0%,3,3,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,1,9,15,0,0,0,85,163,65%,78,149,67%,7,14,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,1546,2,2,0,0,0,11,14,0%,10,13,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,0,1,1,0,0,0,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,2,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,0,0,0,0,0,0,5,18,0%,3,10,0%,2,8,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,0,2,2,0,0,0,106,173,74%,99,165,75%,7,8,57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,0,0,0,0,0,1,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,1,5,7,0,0,0,259,319,68%,247,305,68%,12,14,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,35,0,0,0,0,0,16,24,56%,14,22,57%,2,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,52,16,17,0,0,0,20,23,50%,20,23,50%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,3,2,4,0,0,0,9,12,78%,2,2,50%,7,10,86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,823,68,85,0,0,0,238,374,59%,195,328,56%,43,46,72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,0,0,0,0,0,1,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,99,232,735,0,0,0,1476,2293,62%,1472,2287,62%,4,6,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,9,7,8,0,0,1,3,3,0%,1,1,0%,2,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,0,1,1,0,0,0,8,8,0%,7,7,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,0,68,127,0,0,0,393,571,90%,381,559,90%,12,12,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,2,79,95,0,0,0,80,102,40%,64,81,31%,16,21,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,4,7,7,0,0,0,674,1265,80%,632,1220,79%,42,45,86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,0,1,4,0,0,0,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,285,4,4,0,0,0,2,3,0%,2,3,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,0,0,0,0,0,0,1,2,0%,1,2,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,7,2,5,0,0,0,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,2,1,1,0,0,0,1,1,0%,1,1,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,1634,5,6,0,0,0,893,1079,81%,876,1063,82%,17,16,65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,7,1,2,0,0,0,34,48,74%,4,8,0%,30,40,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,1,16,20,0,0,0,28,36,57%,4,4,50%,24,32,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,165,458,741,0,0,0,7981,10325,91%,6538,7668,91%,1443,2657,87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,0,56738,96143,0,0,0,42466,70528,86%,39293,66143,86%,3173,4385,85%,"23,801","38,080",88%,"9,369","17,491",80%,329,401,49%,,,,,,,942,"3,002",87%,"4,591","6,753",89%,261,416,95%,,,,,,,,,
Uruguay,3,0,0,0,0,0,15,22,67%,9,16,56%,6,6,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,1,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,265,3,3,0,0,0,12,26,17%,10,24,0%,2,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
