Country,Content Restrictions,Preservation Requests,Preservation Accounts Preserved,Takedown reports,Percent Witheld,Internet Disruptions,Total Requests,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Botswana,0,1,1,0,0,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,1136,1596,2525,0,0,0,2529,6108,66%,2350,5296,64%,179,812,84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,0,5,5,0,0,0,20,29,80%,17,24,76%,3,5,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,0,1,1,0,0,0,2,2,0%,2,2,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,0,0,0,0,0,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,9,1334,2037,0,0,0,1220,1538,87%,441,627,82%,779,911,89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0,135,226,0,0,0,399,626,78%,391,603,79%,8,23,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,4,308,505,0,0,0,261,495,64%,215,408,71%,46,87,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0,108,159,0,0,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,0,1,1,0,0,0,96,125,89%,96,125,89%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,3,4,4,0,0,0,7,7,86%,5,5,80%,2,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,2,102,176,0,0,0,81,138,85%,69,117,84%,12,21,92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,1,21,25,0,0,0,32,35,69%,31,34,68%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,0,111,121,0,0,0,198,238,57%,150,178,65%,48,60,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0,13,25,0,0,0,52,163,62%,48,151,67%,4,12,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,0,8,8,0,0,0,16,23,56%,13,13,54%,3,10,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,0,5,5,0,0,0,55,143,67%,47,135,66%,8,8,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,4,50,66,0,0,0,74,107,92%,69,100,91%,5,7,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,288,160,249,0,0,0,4249,4900,70%,4165,4806,69%,84,94,77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,0,28,34,0,0,0,16,20,94%,13,15,92%,3,5,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1672,199,326,0,0,0,5067,6493,60%,4914,6297,59%,153,196,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,0,0,0,0,0,0,1,1,0%,0,0,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,0,235,345,0,0,0,404,571,74%,293,457,67%,111,114,92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,0,37,101,0,0,0,82,208,73%,45,138,60%,37,70,89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,179,40,60,0,0,0,153,287,65%,146,277,66%,7,10,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,0,17,17,0,0,0,271,334,58%,267,329,58%,4,5,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,0,1,1,0,0,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,1914,1284,1700,0,0,15,12171,17262,53%,11874,16740,53%,297,522,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,0,6,6,0,0,0,19,28,37%,7,9,0%,12,19,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,0,0,0,0,0,9,5,5,0%,2,2,0%,3,3,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,7,152,227,0,0,0,52,87,77%,50,85,80%,2,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,470,163,179,0,0,0,470,586,79%,227,270,78%,243,316,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,485,554,840,0,0,0,2059,3979,66%,1991,3891,65%,68,88,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,0,2,2,0,0,0,12,22,67%,1,11,0%,11,11,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,0,0,0,0,0,0,70,77,61%,37,41,57%,33,36,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,13,0,0,0,0,0,8,8,50%,2,1,50%,6,7,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,0,0,0,0,0,0,16,34,50%,13,29,46%,3,5,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0,0,0,0,0,0,9,9,0%,8,8,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,0,8,8,0,0,0,31,32,68%,31,32,68%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,0,1,1,0,0,0,6,5,33%,2,2,0%,4,3,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,0,0,0,0,0,0,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,0,12,13,0,0,0,72,100,85%,69,97,86%,3,3,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,0,25,44,0,0,0,4,4,50%,4,4,50%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,0,0,0,0,0,0,8,8,100%,8,8,100%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,0,1,1,0,0,0,41,61,66%,41,61,66%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,0,1,1,0,0,0,2,2,0%,2,2,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,4,3,3,0,0,0,20,23,70%,18,19,67%,2,4,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,0,1,1,0,0,0,12,12,75%,12,12,75%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,0,0,0,0,0,0,149,161,72%,146,157,72%,3,4,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,2266,130,369,0,0,0,1084,1944,76%,902,1671,78%,182,273,65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,0,0,0,0,0,0,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,0,1,1,0,0,0,2,3,0%,1,2,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,0,1,1,0,0,0,13,16,77%,11,14,73%,2,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,0,1,2,0,0,0,22,26,59%,21,24,57%,1,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,1,0,0,0,0,0,1,0,0%,1,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,0,0,0,0,0,0,47,67,38%,43,63,37%,4,4,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,94,37,52,0,0,0,675,1230,91%,632,1183,91%,43,47,81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,1,41,71,0,0,0,73,104,66%,56,86,59%,17,18,88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,0,0,0,0,0,0,2,3,50%,2,3,50%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,1,32,43,0,0,0,41,58,61%,28,43,50%,13,15,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,0,0,0,0,0,0,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,300,464,598,0,0,2,1320,1800,59%,1281,1753,59%,39,47,56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,0,1,1,0,0,0,10,12,30%,10,12,30%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,0,2,4,0,0,0,11,15,36%,11,15,36%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,0,2,2,0,0,0,10,13,50%,8,11,50%,2,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,0,96,146,0,0,0,58,118,60%,47,91,64%,11,27,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,0,121,178,0,0,0,36,50,44%,4,7,0%,32,43,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,0,125,164,0,0,0,1476,2169,53%,1382,2046,51%,94,123,82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,0,82,99,0,0,0,679,902,52%,679,902,52%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,0,2,3,0,0,0,5,5,0%,5,5,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,0,10,28,0,0,0,59,177,73%,53,170,74%,6,7,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,174,0,0,0,0,0,6,7,0%,5,7,0%,1,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,0,0,0,0,0,0,1,1,100%,0,0,0%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,0,0,0,0,0,0,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,0,0,0,0,0,0,77,102,81%,72,97,79%,5,5,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,0,2,2,0,0,0,244,310,70%,241,307,70%,3,3,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,7,6,7,0,0,0,13,16,92%,4,6,75%,9,10,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,0,27,30,0,0,0,24,29,50%,24,29,50%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,0,2,14,0,0,0,8,13,88%,2,6,100%,6,7,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,3,43,57,0,0,0,162,259,53%,156,253,54%,6,6,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,58,143,255,0,0,0,1151,1965,62%,1140,1940,61%,11,25,91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,0,5,6,0,0,0,6,7,33%,6,7,33%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,0,3,3,0,0,0,11,12,0%,11,12,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,0,73,101,0,0,0,333,450,89%,321,429,89%,12,21,92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,0,41,46,0,0,0,75,107,60%,59,84,51%,16,23,94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,1,1,1,0,0,0,557,1052,82%,546,1038,81%,11,14,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,0,1,1,0,0,0,1,1,0%,0,0,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,138,1,1,0,0,0,6,7,17%,4,5,25%,2,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,657,1,1,0,0,0,440,625,81%,426,605,81%,14,20,64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,0,1,1,0,0,0,29,30,66%,3,2,0%,26,28,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,6,0,0,0,0,0,8,5,25%,4,3,25%,4,2,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,99,379,627,0,0,0,7455,9719,92%,6056,7447,92%,1399,2272,89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,0,47127,77860,0,0,0,32742,53625,85%,30934,51246,86%,1808,2379,78%,"19,659","31,801",87%,"7,203","13,672",81%,243,277,56%,,,,,,,676,"1,379",86%,"3,032","3,952",92%,122,165,93%,,,,,,,,,
Uruguay,0,1,1,0,0,0,20,25,75%,8,10,88%,12,15,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,0,0,0,0,0,1,8,12,38%,5,9,0%,3,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
