Country,Preservation Requests,Preservation Accounts Preserved,Total Requests,Number of Requests Where Some Data Produced,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Number of Requests Where Some Data Produced,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,ER Number of Requests Where Some Data Produced,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Brazil,"6,231","12,337","11,100","8,849","45,388",80%,"10,219","8,274","43,967",81%,881,575,"1,421",65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Indian Ocean Territory,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,0,0,3,2,3,67%,3,2,3,67%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,17,24,46,28,67,61%,45,27,65,60%,1,1,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,0,0,4,0,5,0%,4,0,5,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,0,0,1,1,4,100%,0,0,0,0%,1,1,4,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,"2,189","3,584","2,477","1,937","3,565",78%,896,686,"1,408",77%,"1,581","1,251","2,157",79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,8,11,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,296,555,540,248,"1,051",46%,514,228,"1,021",44%,26,20,30,77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Island,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos (Keeling) Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,856,"1,380",578,365,"1,281",63%,461,283,899,61%,117,82,382,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,151,281,43,19,69,44%,6,1,5,17%,37,18,64,49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,3,5,106,84,160,79%,102,81,155,79%,4,3,5,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,41,65,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,27,35,16,12,22,75%,5,3,8,60%,11,9,14,82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,57,108,139,107,233,77%,118,89,192,75%,21,18,41,86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,3,4,2,0,2,0%,2,0,2,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,186,229,131,97,258,74%,130,97,255,75%,1,0,3,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,122,159,118,38,169,32%,94,24,139,26%,24,14,30,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,147,360,398,240,639,60%,139,52,301,37%,259,188,338,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,1,1,2,1,14,50%,1,0,8,0%,1,1,6,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,26,38,27,11,45,41%,26,11,44,42%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,12,15,64,40,91,63%,61,37,88,61%,3,3,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federated States of Micronesia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,1,1,3,3,4,100%,0,0,0,0%,3,3,4,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,86,131,151,125,223,83%,140,116,212,83%,11,9,11,82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,212,474,"11,131","8,772","12,870",79%,"6,686","4,879","8,285",73%,"4,445","3,893","4,585",88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Southern Territories,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,38,83,10,7,18,70%,10,7,18,70%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,494,703,"12,715","8,238","18,450",65%,"11,943","7,683","17,049",64%,772,555,"1,401",72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,8,8,1,0,1,0%,1,0,1,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,313,495,663,431,"1,187",65%,561,348,"1,062",62%,102,83,125,81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,187,360,207,111,437,54%,111,40,264,36%,96,71,173,74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guernsey,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,0,0,22,7,19,32%,0,0,0,0%,22,7,19,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heard Island and McDonald Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,26,33,14,1,26,7%,5,0,11,0%,9,1,15,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,39,39,202,0,223,0%,201,0,222,0%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,37,69,426,204,608,48%,415,203,590,49%,11,1,18,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,9,22,2,2,3,100%,1,1,2,100%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,"4,403","8,530","40,300","20,796","62,754",52%,"37,865","19,622","56,024",52%,"2,435","1,174","6,730",48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,10,13,45,7,64,16%,37,6,57,16%,8,1,7,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,11,11,18,0,20,0%,12,0,14,0%,6,0,6,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,451,661,230,134,285,58%,209,123,261,59%,21,11,24,52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle Of Man,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,"1,122","1,581","1,030",836,"1,674",81%,574,487,918,85%,456,349,756,77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,"1,606","2,703","3,214","1,816","6,014",57%,"3,137","1,770","5,916",56%,77,46,98,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,69,88,76,16,95,21%,75,16,94,21%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,3,3,4,0,2,0%,1,0,1,0%,3,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,24,44,66,28,82,42%,0,0,0,0%,66,28,82,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,6,6,284,172,387,61%,235,154,330,66%,49,18,57,37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,3,5,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,30,67,17,2,26,12%,17,2,26,12%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,2,6,20,11,30,55%,19,10,29,53%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,1,4,5,0,103,0%,5,0,103,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laos,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,4,8,49,35,63,71%,45,33,59,73%,4,2,4,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,0,0,1,0,0,0%,0,0,0,0%,1,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,2,3,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,22,37,74,55,98,74%,69,51,93,74%,5,4,5,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,53,62,25,17,47,68%,25,17,47,68%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,0,0,10,8,16,80%,10,8,16,80%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,6,16,77,32,127,42%,77,32,127,42%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,1,1,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,0,0,6,0,7,0%,6,0,7,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,8,12,53,32,70,60%,47,27,63,57%,6,5,7,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,2,2,22,12,28,55%,20,12,25,60%,2,0,3,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,1,3,406,183,505,45%,389,172,485,44%,17,11,20,65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,"1,394","2,261","2,525","1,263","4,514",50%,"2,069",993,"3,703",48%,456,270,811,59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,11,24,11,5,21,45%,9,3,17,33%,2,2,4,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,4,4,6,1,6,17%,6,1,6,17%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,3,5,15,1,22,7%,7,1,13,14%,8,0,9,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,0,0,71,49,82,69%,71,49,82,69%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,0,0,272,165,298,61%,270,165,296,61%,2,0,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,0,0,2,0,3,0%,0,0,0,0%,2,0,3,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,1,6,406,252,559,62%,380,235,518,62%,26,17,41,65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,39,73,960,805,"2,090",84%,870,740,"1,929",85%,90,65,161,72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,291,"1,001",176,132,291,75%,90,63,178,70%,86,69,113,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,0,0,1,1,1,100%,0,0,0,0%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,1,1,12,8,58,67%,10,8,55,80%,2,0,3,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niue,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,1,2,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,35,43,50,30,93,60%,36,17,75,47%,14,13,18,93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,946,"1,194","1,816",377,"2,608",21%,"1,702",350,"2,430",21%,114,27,178,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,0,0,1,1,1,100%,1,1,1,100%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,35,57,18,7,30,39%,16,7,25,44%,2,0,5,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,29,42,39,17,53,44%,25,10,36,40%,14,7,17,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,514,804,129,52,262,40%,86,33,200,38%,43,19,62,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,89,167,32,13,58,41%,19,8,40,42%,13,5,18,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitcairn,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,502,746,"4,673","2,698","5,821",58%,"4,359","2,457","5,449",56%,314,241,372,77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,180,262,"1,048",470,"1,411",45%,"1,040",465,"1,402",45%,8,5,9,63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,0,0,1,0,1,0%,0,0,0,0%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of the Congo,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reunion,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
