Country,Preservation Requests,Preservation Accounts Preserved,Total Requests,Number of Requests Where Some Data Produced,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Number of Requests Where Some Data Produced,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,ER Number of Requests Where Some Data Produced,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Brazil,"4,428","8,737","7,517","5,320","30,875",71%,"6,850","4,868","29,796",71%,667,452,"1,079",68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Indian Ocean Territory,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,1,1,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,32,41,39,26,49,67%,38,26,48,68%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,5,7,1,0,4,0%,1,0,4,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,0,0,3,0,5,0%,2,0,3,0%,1,0,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,1,3,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,"2,181","3,923","2,092","1,733","2,976",83%,806,699,"1,317",87%,"1,286","1,034","1,659",80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,10,10,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,0,0,1,0,1,0%,1,0,1,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,251,463,502,253,"1,192",50%,476,242,"1,149",51%,26,11,43,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Island,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos (Keeling) Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,705,"1,204",456,308,"1,107",68%,328,227,648,69%,128,81,459,63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,167,267,39,17,115,44%,3,1,3,33%,36,16,112,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,2,5,87,65,280,75%,85,64,278,75%,2,1,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,38,53,30,23,57,77%,21,15,39,71%,9,8,18,89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,64,93,131,107,215,82%,120,98,199,82%,11,9,16,82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,4,6,2,0,13,0%,1,0,10,0%,1,0,3,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,114,147,91,66,129,73%,86,62,124,72%,5,4,5,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,90,97,96,33,106,34%,67,21,73,31%,29,12,33,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,56,85,143,92,226,64%,71,36,138,51%,72,56,88,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,3,5,6,4,12,67%,0,0,0,0%,6,4,12,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,33,48,25,10,36,40%,20,8,29,40%,5,2,7,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,7,7,51,36,83,71%,49,34,81,69%,2,2,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federated States of Micronesia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,3,3,3,0,3,0%,2,0,2,0%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,84,143,135,115,275,85%,130,111,268,85%,5,4,7,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,198,254,"11,086","9,467","12,502",85%,"7,741","6,313","9,082",82%,"3,345","3,154","3,420",94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Southern Territories,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,27,64,14,8,18,57%,14,8,18,57%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,404,631,"11,211","6,957","15,785",62%,"10,436","6,422","14,537",62%,775,535,"1,248",69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,3,3,5,0,9,0%,5,0,9,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,353,534,501,348,767,69%,433,290,695,67%,68,58,72,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,1,1,3,1,2,33%,0,0,0,0%,3,1,2,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,89,216,131,81,282,62%,69,35,180,51%,62,46,102,74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guernsey,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,3,4,3,0,3,0%,1,0,1,0%,2,0,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,1,1,2,0,0,0%,0,0,0,0%,2,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heard Island and McDonald Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,21,48,9,4,23,44%,3,1,13,33%,6,3,10,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,47,50,262,62,285,24%,259,61,282,24%,3,1,3,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,24,26,409,203,593,50%,406,203,587,50%,3,0,6,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,13,15,1,1,1,100%,1,1,1,100%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,"4,132","9,406","35,560","17,922","57,294",50%,"33,374","16,781","49,290",50%,"2,186","1,141","8,004",52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,22,47,49,14,68,29%,36,8,51,22%,13,6,17,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,1,1,5,0,6,0%,5,0,6,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,5,7,16,0,162,0%,9,0,46,0%,7,0,116,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,369,543,71,51,77,72%,61,44,68,72%,10,7,9,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle Of Man,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,"1,232","1,539",913,736,"1,299",81%,518,424,787,82%,395,312,512,79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,"1,580","2,441","2,724","1,708","4,540",63%,"2,641","1,664","4,418",63%,83,44,122,53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,3,6,15,1,18,7%,15,1,18,7%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,0,0,4,1,3,25%,0,0,0,0%,4,1,3,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,7,9,43,23,48,53%,1,0,0,0%,42,23,48,55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,3,3,214,118,265,55%,152,100,182,66%,62,18,83,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,4,6,2,0,7,0%,2,0,7,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,6,6,16,2,27,13%,11,1,17,9%,5,1,10,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,0,0,1,0,1,0%,1,0,1,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,8,10,28,17,41,61%,22,16,33,73%,6,1,8,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,1,2,1,0,1,0%,1,0,1,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laos,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,7,8,48,30,55,63%,46,28,53,61%,2,2,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,1,1,3,1,9,33%,2,0,8,0%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,1,2,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,18,30,88,66,163,75%,85,63,160,74%,3,3,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,17,18,18,11,42,61%,17,11,41,65%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,0,0,3,2,4,67%,3,2,4,67%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,3,5,78,22,106,28%,78,22,106,28%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,0,0,1,0,1,0%,1,0,1,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,0,0,8,3,9,38%,7,2,8,29%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,11,13,39,29,93,74%,36,28,90,78%,3,1,3,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,2,2,23,20,24,87%,22,20,23,91%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,0,0,3,2,3,67%,0,0,0,0%,3,2,3,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,1,1,273,122,317,45%,264,117,307,44%,9,5,10,56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,691,"1,969","2,449","1,100","4,342",45%,"1,917",817,"3,407",43%,532,283,935,53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,15,35,14,7,17,50%,14,7,17,50%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,0,0,7,1,10,14%,6,1,9,17%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,9,9,43,8,54,19%,34,7,39,21%,9,1,15,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,0,0,54,37,62,69%,53,37,61,70%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,1,1,209,122,254,58%,208,122,252,59%,1,0,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,0,0,3,1,1,33%,0,0,0,0%,3,1,1,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,1,1,283,152,362,54%,274,150,353,55%,9,2,9,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,35,61,715,580,"1,298",81%,645,526,"1,187",82%,70,54,111,77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,280,914,169,111,509,66%,98,54,401,55%,71,57,108,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,4,4,1,1,1,100%,0,0,0,0%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,3,4,14,6,20,43%,12,6,19,50%,2,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niue,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,1,2,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,23,38,83,52,129,63%,41,13,61,32%,42,39,68,93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,0,0,2,0,38,0%,2,0,38,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,618,771,"1,485",355,"2,009",24%,"1,358",287,"1,848",21%,127,68,161,54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,2,2,7,0,7,0%,5,0,5,0%,2,0,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,24,41,12,6,29,50%,9,6,25,67%,3,0,4,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,1,4,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,19,31,26,4,35,15%,21,4,20,19%,5,0,15,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,298,474,56,26,90,46%,29,14,50,48%,27,12,40,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,131,"1,117",35,8,51,23%,6,2,12,33%,29,6,39,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitcairn,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,440,558,"4,572","2,666","5,989",58%,"4,200","2,396","5,539",57%,372,270,450,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,92,111,767,364,"1,032",47%,766,363,"1,031",47%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,0,0,9,0,20,0%,4,0,11,0%,5,0,9,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of the Congo,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reunion,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
