Country,Content Restricted,Preservation Requests,Preservation Accounts Preserved,Takedown reports,Percent Witheld,Internet Disruptions,Total Requests,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Emergency Disclosures,Emergency Disclosures Accounts,Emergency Disclosures Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Panama,0,2,2,0,0,,1,1,100%,1,1,100%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,0,,,0,0,,8,8,100%,8,8,100%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,0,,,0,0,,8,12,0%,8,12,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,0,5,9,0,0,,25,28,64%,23,26,70%,2,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,0,1,1,0,0,,49,89,51%,49,89,51%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,0,34,45,0,0,,60,128,88%,55,120,87%,5,8,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,0,,,0,0,,2,3,0%,1,2,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,51,49,71,0,0,,123,167,69%,122,166,70%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,0,5,5,0,0,,4,4,50%,3,3,33%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,0,8,20,0,0,1,1,2,50%,0,0,0%,1,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,0,15,20,0,0,,10,18,40%,10,18,40%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,0,4,4,0,0,,68,78,81%,68,78,81%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0,82,113,0,0,,1,1,0%,0,0,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,0,27,53,0,0,,1,1,100%,1,1,100%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,0,2,3,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,0,7,23,0,0,,14,16,57%,13,15,54%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,0,12,17,0,0,,19,28,63%,19,28,63%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0,3,3,0,0,,12,57,92%,11,56,91%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,0,2,3,0,0,,2,2,0%,1,1,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,0,5,5,0,0,,10,10,0%,9,9,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,0,1,1,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,0,,,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,0,18,26,0,0,,9,9,89%,9,9,89%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,0,,,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,0,18,26,0,0,,12,15,80%,11,14,78%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,7,7,7,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0,,,0,0,,4,3,0%,4,3,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,0,,,0,0,,1,1,0%,0,0,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,0,1,2,0,0,1,2,3,0%,0,0,0%,2,3,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,0,13,17,0,0,,7,7,86%,7,7,86%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,0,,,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,0,,,0,0,,2,2,50%,1,1,0%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,0,3,7,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,0,,,0,0,,1,1,100%,0,0,0%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,0,1,1,0,0,,7,13,14%,4,5,25%,3,8,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,0,,,0,0,,1,1,100%,1,1,100%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,0,,,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0,3,4,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,1,,,0,0,,3,4,0%,2,2,0%,1,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,0,1,1,0,0,,37,52,76%,36,49,78%,1,3,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,0,7,7,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,0,3,3,0,0,15,5,5,0%,4,4,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,0,,,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,0,2,2,0,0,,1,1,0%,0,0,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,0,,,0,0,,4,5,25%,2,3,0%,2,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,0,,,0,0,,5,5,80%,5,5,80%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,0,24,36,0,0,,1,1,100%,1,1,100%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,0,,,0,0,,2,2,50%,1,1,0%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,0,1,8,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,0,,,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,0,,,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vatican City,0,,,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,0,1,2,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,0,,,0,0,8,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,0,,,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,0,,,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,0,1,1,0,0,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,0,1,1,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,5,,,0,0,,12,11,50%,12,11,50%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,0,,,0,0,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,0,,,0,0,1,1,3,0%,1,3,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,0,,,0,0,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,0,1,1,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,0,,,0,0,,6,6,67%,6,6,67%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,0,,,0,0,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,0,4,4,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,0,2,5,0,0,,1,0,0%,0,0,0%,1,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,168,443,787,0,0,,"6,845","8,167",90%,"6,091","7,530",92%,754,637,72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,712,2,2,0,0,,"1,041","1,367",71%,"1,024","1,341",71%,17,26,88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,0,4,4,0,0,,493,851,63%,483,837,63%,10,14,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,0,57,74,0,0,,57,64,46%,45,51,40%,12,13,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,45,154,277,0,0,,"1,214","2,080",56%,"1,209","2,075",56%,5,5,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,572,57,88,0,0,,110,146,51%,106,141,51%,4,5,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,0,53,106,0,0,,317,470,88%,292,426,88%,25,44,84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,0,20,42,0,0,,54,78,57%,50,74,60%,4,4,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,0,162,231,0,0,,"1,476","1,896",53%,"1,313","1,695",52%,163,201,63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,0,72,113,0,0,,52,85,75%,45,77,73%,7,8,86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,177,399,613,0,0,1,"1,050","1,540",63%,"1,039","1,512",63%,11,28,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,0,48,66,0,0,,29,52,55%,21,39,42%,8,13,88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,0,67,137,0,0,,22,40,41%,6,23,33%,16,17,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,1,20,33,0,0,,49,73,61%,44,69,61%,5,4,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,28,21,36,0,0,,804,"1,359",92%,771,"1,313",93%,33,46,79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,0,,,0,0,,29,43,52%,27,41,52%,2,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,20527,156,422,0,0,,938,"1,674",65%,834,"1,493",67%,104,181,49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,0,2,2,0,0,,146,161,62%,140,155,63%,6,6,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,0,1,1,0,0,,23,29,52%,9,10,66%,14,19,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,0,13,18,0,0,,6,8,33%,2,4,1%,4,4,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,321,718,1107,0,0,,"2,264","4,168",61%,"2,152","4,006",60%,112,162,79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,472,86,106,0,0,,367,509,77%,216,298,76%,151,211,79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,3,177,294,0,0,,84,95,75%,77,84,79%,7,11,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,1228,1166,1629,0,0,21,"9,853","13,752",54%,"9,690","13,490",54%,163,262,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,0,24,31,0,0,,234,390,54%,230,360,55%,4,30,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,0,220,314,0,0,,363,546,71%,278,455,66%,85,91,89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,967,242,296,0,0,,"4,700","5,485",74%,"4,584","5,343",74%,116,142,66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,0,40,72,0,0,,45,79,84%,43,77,86%,2,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,0,22,31,0,0,,35,37,51%,33,35,51%,2,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1297,348,483,0,0,,"5,211","6,251",59%,"5,040","6,005",58%,171,246,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0,22,57,0,0,,33,53,42%,25,44,47%,8,9,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,0,5,5,0,0,,11,16,45%,6,7,16%,5,9,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0,73,92,0,0,,350,544,81%,347,541,81%,3,3,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,0,426,731,0,0,,345,668,62%,305,596,67%,40,72,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,0,106,142,0,0,,83,132,83%,60,103,80%,23,29,91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2,1452,2378,0,0,,"1,004","1,243",85%,430,580,82%,574,663,87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,629,1432,2388,0,0,,"2,056","3,455",57%,"1,999","3,313",57%,57,142,74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,0,10,11,0,0,,44,44,45%,20,21,19%,24,23,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,363,24,36,0,0,,67,96,51%,58,86,47%,9,10,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2,308,480,0,0,,704,849,77%,667,801,78%,37,48,68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,23,64,109,0,0,,513,757,85%,486,703,85%,27,54,81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0,630,953,0,0,,984,"1,449",76%,944,"1,402",77%,40,47,48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,0,,,0,0,,30,62,40%,7,13,30%,23,49,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,12,4,9,0,0,,13,25,46%,1,2,2%,12,23,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,0,8,9,0,0,,8,9,75%,6,7,83%,2,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,0,1,1,0,0,,24,29,63%,22,26,64%,2,3,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,0,43,114,0,0,,66,738,62%,50,712,54%,16,26,88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,0,85,102,0,0,,115,138,63%,96,115,62%,19,23,68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,0,2,2,0,0,,27,32,70%,3,7,2%,24,25,79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,1,1,1,0,0,,34,56,65%,31,53,65%,3,3,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,0,7,7,0,0,,78,109,64%,32,33,50%,46,76,74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,0,10,10,0,0,,11,31,9%,6,16,0%,5,15,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
