Country,Content Restricted,Preservation Requests,Preservation Accounts Preserved,Takedown reports,Percent Witheld,Internet Disruptions,Total Requests,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Emergency Disclosures,Emergency Disclosures Accounts,Emergency Disclosures Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Montenegro,0,,,0,0,,10,11,60%,10,11,60%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,0,3,3,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,0,,,0,0,,1,2,0%,1,2,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,0,,,0,0,,6,12,33%,5,11,20%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,0,,,0,0,,2,2,0%,2,2,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,0,1,2,0,0,,19,35,68%,18,34,67%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,0,,,0,0,,32,71,66%,31,70,65%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,0,,,0,0,,21,23,81%,21,23,81%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,0,8,8,0,0,,2,2,100%,2,2,100%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,0,32,36,0,0,,40,74,80%,37,70,78%,3,4,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,0,1,1,0,0,,9,12,44%,7,9,29%,2,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,0,1,2,0,0,,7,14,43%,6,12,33%,1,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,7,,,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,0,,,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,0,117,320,0,0,,89,81,65%,88,80,66%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,0,3,3,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,0,1,1,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,1,20,31,0,0,,190,279,46%,190,279,46%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,0,21,23,0,0,,186,230,47%,185,228,47%,1,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,0,29,73,0,0,,26,45,88%,19,35,84%,7,10,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,0,1,1,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,0,2,2,0,0,,6,8,0%,6,8,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,0,2,1,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,0,41,69,0,0,,34,52,47%,33,50,45%,1,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,0,4,4,0,0,,47,53,94%,47,53,94%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,0,8,12,0,0,,10,14,0%,10,14,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,0,61,138,0,0,,55,86,78%,43,66,72%,12,20,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0,22,34,0,0,,380,521,71%,380,521,71%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,0,215,341,0,0,,214,355,57%,209,350,59%,5,5,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0,88,143,0,0,,3,5,0%,2,4,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,0,1,,0,0,,6,10,50%,6,10,50%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,0,,,0,0,,2,2,0%,1,1,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,0,6,7,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,3,,,0,0,,2,2,0%,1,1,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,0,6,9,0,0,,13,30,46%,13,30,46%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,0,,,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,2,,,0,0,,10,9,20%,9,8,11%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,0,1,1,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,0,4,8,0,0,,7,8,0%,7,8,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,0,1,1,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,0,,,0,0,,2,0,0%,1,0,0%,1,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,0,3,4,0,0,,9,12,67%,9,12,67%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,0,1,1,0,0,,2,3,50%,2,3,50%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0,2,4,0,0,,22,32,82%,22,32,82%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,0,1,1,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,0,31893,56714,0,0,,"23,854","38,951",81%,"22,747","37,361",81%,"1,107","1,590",75%,"1,107","1,590",75%,"13,742","21,626",81%,"6,526","12,447",80%,304,348,72%,,,,,,,477,937,88%,"1,603","1,848",80%,95,155,72%,,,,,,,,,
United Kingdom,284,457,718,0,0,,"5,469","7,199",87%,"4,738","6,039",88%,731,"1,160",79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,0,12,16,0,0,,12,10,25%,9,7,11%,3,3,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,0,,,0,0,,480,733,39%,468,718,38%,12,15,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,56,26,27,0,0,,68,97,47%,63,92,44%,5,5,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,0,43,55,0,0,,40,42,53%,31,33,42%,9,9,89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,0,22,28,0,0,,303,441,88%,295,431,88%,8,10,88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,10,113,156,0,0,,811,"1,194",52%,809,"1,187",52%,2,7,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,0,,,0,0,,45,70,84%,42,66,86%,3,4,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,0,6,7,0,0,,25,37,48%,23,32,48%,2,5,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,0,94,120,0,0,,991,"1,032",45%,942,979,43%,49,53,71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,25,280,363,0,0,,719,"1,029",65%,712,"1,015",65%,7,14,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,0,29,38,0,0,,450,758,87%,422,718,87%,28,40,82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,0,17,49,0,0,,90,111,59%,80,101,55%,10,10,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,0,32,62,0,0,,562,890,76%,526,839,75%,36,51,86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,0,,,0,0,,146,169,78%,144,167,78%,2,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,0,4,4,0,0,,25,37,16%,15,22,20%,10,15,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,0,,,0,0,,11,11,55%,6,6,50%,5,5,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,11,606,909,0,0,,"1,913","2,877",56%,"1,872","2,836",56%,41,41,71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,962,35,42,0,0,,432,494,72%,315,377,69%,117,117,79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,0,2,3,0,0,,21,23,33%,16,17,25%,5,6,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,2034,609,850,0,0,,"6,324","8,290",54%,"6,282","8,221",53%,42,69,69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,0,61,79,0,0,,326,398,72%,242,311,67%,84,87,87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1093,249,302,0,0,,"3,695","4,599",48%,"3,621","4,503",47%,74,96,65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,0,17,18,0,0,,30,60,53%,22,53,59%,8,7,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2213,307,445,0,0,,"3,763","4,045",60%,"3,713","3,991",60%,50,54,68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,0,8,18,0,0,,38,44,79%,36,42,81%,2,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0,23,26,0,0,,46,58,59%,42,54,60%,4,4,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,0,3,4,0,0,,24,38,63%,20,34,60%,4,4,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,0,57,70,0,0,,111,141,48%,104,129,48%,7,12,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0,1163,1761,0,0,,"1,004","1,205",83%,644,800,82%,360,405,84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,1019,777,1517,0,0,,"1,751","4,486",51%,"1,736","4,426",51%,15,60,53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,0,47,51,0,0,,420,674,86%,397,641,86%,23,33,91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,940,17,30,0,0,,29,36,38%,25,30,36%,4,6,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,5,301,482,0,0,,829,"1,032",74%,758,939,73%,71,93,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,0,410,578,0,0,,761,801,55%,748,789,55%,13,12,54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
