Country,Content Restricted,Preservation Requests,Preservation Accounts Preserved,Takedown reports,Percent Witheld,Internet Disruptions,Total Requests,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Emergency Disclosures,Emergency Disclosures Accounts,Emergency Disclosures Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Denmark,0,31,70,0,0,,29,49,45%,28,48,43%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,0,1,2,0,0,,66,71,95%,66,71,95%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,0,3,3,0,0,,11,14,36%,6,9,0%,5,5,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,0,,,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,0,3,4,0,0,1,7,9,86%,7,9,86%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,0,1,1,0,0,,2,2,0%,2,2,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,0,,,0,0,1,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,0,,,0,0,,3,3,33%,1,1,0%,2,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,0,2,7,0,0,,22,23,59%,21,22,62%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,0,1,1,0,0,,17,17,65%,16,16,63%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0,1,1,0,0,,3,3,0%,2,2,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,0,16,33,0,0,,39,224,85%,36,220,83%,3,4,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,0,,,0,0,,11,14,64%,2,3,0%,9,11,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,0,2,2,0,0,,36,62,64%,36,62,64%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,0,8,11,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,0,,,0,0,,3,4,0%,2,3,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,0,,,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0,1,1,0,0,,14,33,71%,14,33,71%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,40,11,104,0,0,,6,10,0%,5,9,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,0,11,13,0,0,,7,7,0%,7,7,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vatican City,0,,,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,0,3,24,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,0,1,1,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,0,1,1,0,0,1,6,6,100%,0,0,0%,6,6,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,0,,,0,0,,1,1,100%,0,0,100%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,0,,,0,0,,1,1,0%,0,0,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,1111,12,13,0,0,6,459,522,49%,453,516,49%,6,6,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,0,,,0,0,,1,1,100%,0,0,100%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,0,1,1,0,0,,3,3,33%,1,1,0%,2,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,121,,,0,0,1,4,4,0%,4,4,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,0,,,0,0,,1,2,0%,0,0,0%,1,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,0,,,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,0,16,19,0,0,,13,13,69%,13,13,69%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,0,2,4,0,0,,18,21,83%,17,20,82%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,0,1,1,0,0,,3,4,0%,3,4,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,0,1,1,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,0,,,0,0,,1,0,0%,1,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,0,,,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,0,92,122,0,0,,738,818,53%,737,818,53%,1,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,0,2,31,0,0,,29,81,59%,28,75,61%,1,6,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,0,,,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,0,1,1,0,0,,7,7,14%,3,2,0%,4,5,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,0,33,50,0,0,,33,50,52%,31,48,55%,2,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,0,1,2,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,0,2,2,0,0,,7,7,14%,7,7,14%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,0,64,116,0,0,,7,10,29%,4,5,0%,3,5,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,0,,,0,0,,3,6,67%,3,6,67%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,0,,,0,0,,173,189,73%,172,188,73%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,0,,,0,0,1,8,8,88%,8,8,88%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,0,1,1,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,0,,,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,0,1,1,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,0,1,1,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,0,,,0,0,,5,5,100%,5,5,100%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federated States of Micronesia,0,1,1,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,0,109,157,0,0,,79,83,80%,74,77,80%,5,6,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,0,164,227,0,0,,275,393,67%,192,309,61%,83,84,81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,11,523,737,0,0,,"1,876","3,230",60%,"1,836","3,185",60%,40,45,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,0,1,1,0,0,,55,77,31%,18,22,39%,37,55,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,0,5,9,0,0,,14,20,64%,12,18,67%,2,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,919,299,559,0,0,,"4,422","5,631",54%,"4,275","5,412",53%,147,219,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,661,47,56,0,0,,278,337,78%,171,233,81%,107,104,72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,719,917,1463,0,0,16,"7,289","9,932",52%,"7,210","9,803",52%,79,129,61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,659,14,15,0,0,,47,55,40%,39,47,38%,8,8,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,683,291,413,0,0,,"4,478","5,195",68%,"4,409","5,128",68%,69,67,72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,0,15,51,0,0,,34,82,50%,24,66,50%,10,16,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,0,36,45,0,0,,69,98,57%,64,91,55%,5,7,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,0,84,138,0,0,,61,82,77%,43,56,77%,18,26,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,0,309,497,0,0,,205,345,60%,194,331,61%,11,14,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,1708,1082,1788,0,0,1,"1,819","3,153",53%,"1,808","3,126",53%,11,27,64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0,1333,2231,0,0,,773,"1,041",84%,296,474,80%,477,567,87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2,334,483,0,0,,657,761,64%,636,728,63%,21,33,86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,0,15,15,0,0,1,49,57,24%,24,32,8%,25,25,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,72,567,815,0,0,,995,"1,394",75%,975,"1,363",75%,20,31,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2,54,91,0,0,,399,682,85%,379,662,85%,20,20,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,6,442,677,0,0,1,"1,002","1,431",68%,998,"1,428",68%,4,3,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,0,37541,64567,0,0,,"26,014","41,492",83%,"24,319","39,311",84%,"1,695","2,181",78%,"1,695","2,181",78%,"14,736","23,199",85%,"6,536","11,935",81%,236,284,69%,,,,,,,738,"1,476",91%,"1,948","2,240",83%,125,177,63%,,,,,,,,,
United Kingdom,177,392,713,0,0,,"6,366","7,952",89%,"5,369","6,423",90%,997,"1,529",80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,0,1,1,0,0,,483,778,50%,463,754,50%,20,24,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,0,2,2,0,0,,9,13,33%,7,11,29%,2,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,0,,,0,0,,6,8,50%,4,6,50%,2,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,6,142,276,0,0,,833,"1,363",55%,825,"1,345",56%,8,18,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,0,10,11,0,0,,185,230,51%,182,226,51%,3,4,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,15,25,35,0,0,,94,229,52%,92,227,52%,2,2,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,0,1,1,0,0,,62,122,79%,55,112,80%,7,10,71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,0,25,38,0,0,,84,102,57%,68,78,54%,16,24,69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,0,103,130,0,0,,"1,060","1,209",49%,922,"1,018",45%,138,191,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,4,18,20,0,0,,630,"1,204",93%,592,"1,149",94%,38,55,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,0,38,59,0,0,,21,25,57%,19,24,58%,2,1,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,25,67,155,0,0,,600,"1,032",73%,573,998,73%,27,34,74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,0,15,28,0,0,,15,26,87%,10,22,90%,5,4,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,0,40,93,0,0,,48,56,23%,41,51,17%,7,5,57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,0,21,29,0,0,,312,596,89%,297,568,91%,15,28,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
